rater,page_id,bank,bank_category,product_family,language,url,screenshot_path,capture_quality,formality_score,clarity_score,rate_prominence,value_prop_clarity,accent_locations,text_image_layout,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,persuasion_levers,notes
stephane,ing_savings_account_fr_01,ing,traditional,savings_account,fr,https://www.ing.be/fr/particuliers/epargner,data/raw/ing/savings_account_fr_01.png,ok,3.0,3.0,absent,3.0,text|imagery|icons,stacked,card_grid,False,False,True,True,False,scarcity,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). Savings hub, several competing product cards, no single next step. Temporary offer valid until 13/10/2026. accent differs from dataset (text)"
stephane,kbc_current_account_pack_en_01,kbc,traditional,current_account_pack,en,https://www.kbc.be/retail/en/products/payments/current-accounts/open-a-basic-account.html?zone=topnav,,ok,,,,,,,,,,,,,,
stephane,kbc_current_account_pack_fr_01,kbc,traditional,current_account_pack,fr,https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/ouvrir-un-compte-de-base.html?zone=topnav,data/raw/kbc/current_account_pack_fr_01.png,ok,3.0,3.0,below_fold,3.0,buttons|icons|imagery,beside,split_columns,False,False,True,False,True,authority,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). Cookie modal centre. Price 2,50 EUR/mois sits near the page foot"
stephane,kbc_current_account_pack_nl_01,kbc,traditional,current_account_pack,nl,https://www.kbc.be/particulieren/nl/product/betalen/zichtrekeningen/basisrekening-openen.html,data/raw/kbc/current_account_pack_nl_01.png,ok,,,,,,,,,,,,,,
stephane,kbc_mortgage_fr_01,kbc,traditional,mortgage,fr,https://www.kbc.be/particuliers/fr/emprunter/logement/pret-hypothecaire.html?zone=topnav,data/raw/kbc/mortgage_fr_01.png,ok,,,,,,,,,,,,,,
stephane,kbc_savings_account_fr_01,kbc,traditional,savings_account,fr,https://www.kbc.be/particuliers/fr/epargner/comptes-epargne.html?zone=topnav,,ok,,,,,,,,,,,,,,
stephane,n26_current_account_pack_fr_01,n26,challenger,current_account_pack,fr,https://n26.com/fr-fr/compte-bancaire-gratuit,data/raw/n26/current_account_pack_fr_01.png,ok,3.0,4.0,absent,4.0,buttons|imagery,overlaid,hero_stacked,True,True,True,True,True,liking,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). Cookie banner below hero. layout_archetype disagrees with the dataset value (split_columns) - first screen is a full-bleed hero"
stephane,n26_current_account_pack_fr_02,n26,challenger,current_account_pack,fr,https://n26.com/fr-be/tarifs-professionnel,data/raw/n26/current_account_pack_fr_02.png,ok,,,,,,,,,,,,,,
stephane,n26_savings_account_fr_01,n26,challenger,savings_account,fr,https://n26.com/fr-be/compte-epargne,data/raw/n26/savings_account_fr_01.png,ok,,,,,,,,,,,,,,
stephane,revolut_current_account_pack_fr_01,revolut,challenger,current_account_pack,fr,https://www.revolut.com/fr-BE/bank-account/,data/raw/revolut/current_account_pack_fr_01.png,ok,,,,,,,,,,,,,,
