rater,page_id,bank,bank_category,product_family,language,url,screenshot_path,capture_quality,formality_score,clarity_score,rate_prominence,value_prop_clarity,accent_locations,text_image_layout,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,persuasion_levers
dan,crelan_term_account_fr_05,crelan,traditional,term_account,fr,https://www.crelan.be/fr/particuliers/epargner-et-investir/epargner/produit/comptes-terme,data/raw/crelan/term_account_fr_04.png,ok,,,,,,,,,,,,,
dan,hellobank_current_account_pack_fr_01,hellobank,traditional,current_account_pack,fr,https://www.hellobank.be/fr/notre-offre/comptes-et-cartes/compte-all-in-gratuit,data/raw/hellobank/current_account_pack_fr_01.png,ok,,,,,,,,,,,,,
dan,hellobank_investment_fr_03,hellobank,traditional,investment,fr,https://www.hellobank.be/fr/notre-offre/epargner-et-placer/commencer-a-investir,data/raw/hellobank/investment_fr_02.png,ok,,,,,,,,,,,,,
dan,hellobank_savings_account_fr_04,hellobank,traditional,savings_account,fr,https://www.hellobank.be/fr/notre-offre/epargner-et-placer/compte-epargne,data/raw/hellobank/savings_account_fr_03.png,ok,,,,,,,,,,,,,
dan,ing_investment_fr_04,ing,traditional,investment,fr,https://www.ing.be/fr/particuliers/investir,data/raw/ing/investment_fr_03.png,ok,,,,,,,,,,,,,
dan,ing_mortgage_fr_05,ing,traditional,mortgage,fr,https://www.ing.be/fr/particuliers/emprunter/pret-hypothecaire,data/raw/ing/mortgage_fr_04.png,ok,,,,,,,,,,,,,
dan,ing_pension_fr_06,ing,traditional,pension,fr,https://www.ing.be/fr/particuliers/pension,data/raw/ing/pension_fr_05.png,ok,,,,,,,,,,,,,
dan,kbc_current_account_pack_nl_02,kbc,traditional,current_account_pack,nl,https://www.kbc.be/particulieren/nl/product/betalen/zichtrekeningen/basisrekening-openen.html,data/raw/kbc/current_account_pack_nl_02.png,ok,,,,,,,,,,,,,
dan,kbc_investment_fr_03,kbc,traditional,investment,fr,https://www.kbc.be/particuliers/fr/placements.html?zone=topnav,data/raw/kbc/investment_fr_02.png,ok,,,,,,,,,,,,,
dan,kbc_mortgage_fr_04,kbc,traditional,mortgage,fr,https://www.kbc.be/particuliers/fr/emprunter/logement/pret-hypothecaire.html?zone=topnav,data/raw/kbc/mortgage_fr_03.png,ok,,,,,,,,,,,,,
dan,kbc_pension_fr_05,kbc,traditional,pension,fr,https://www.kbc.be/particuliers/fr/epargne-pension/moment-cle.html,data/raw/kbc/pension_fr_04.png,ok,,,,,,,,,,,,,
dan,kbc_savings_account_fr_06,kbc,traditional,savings_account,fr,https://www.kbc.be/particuliers/fr/epargner.html?zone=topnav,data/raw/kbc/savings_account_fr_05.png,ok,,,,,,,,,,,,,
dan,keytrade_current_account_pack_fr_01,keytrade,challenger,current_account_pack,fr,https://www.keytradebank.be/fr/banque/keypack,data/raw/keytrade/current_account_pack_fr_01.png,ok,,,,,,,,,,,,,
dan,keytrade_investment_fr_03,keytrade,challenger,investment,fr,https://www.keytradebank.be/fr/investir,data/raw/keytrade/investment_fr_02.png,ok,,,,,,,,,,,,,
dan,keytrade_savings_account_fr_04,keytrade,challenger,savings_account,fr,https://www.keytradebank.be/fr/banque/epargne,data/raw/keytrade/savings_account_fr_03.png,ok,,,,,,,,,,,,,
dan,n26_investment_fr_03,n26,challenger,investment,fr,https://n26.com/fr-fr/investir-etf,data/raw/n26/investment_fr_02.png,ok,,,,,,,,,,,,,
dan,n26_savings_account_fr_04,n26,challenger,savings_account,fr,https://n26.com/fr-fr/plan-d-epargne,data/raw/n26/savings_account_fr_03.png,ok,,,,,,,,,,,,,
dan,vdk_current_account_pack_fr_01,vdk,traditional,current_account_pack,fr,https://www.vdk.be/fr/particuliers/services-bancaires-au-quotidien/comptes-de-paiement/compte-vue-you-count,data/raw/vdk/current_account_pack_fr_01.png,ok,,,,,,,,,,,,,
dan,vdk_pension_fr_03,vdk,traditional,pension,fr,https://www.vdk.be/fr/particuliers/epargner-et-investir/epargne-pension,data/raw/vdk/pension_fr_02.png,ok,,,,,,,,,,,,,
dan,vdk_savings_account_fr_04,vdk,traditional,savings_account,fr,https://www.vdk.be/fr/compte-depargne-rythme,data/raw/vdk/savings_account_fr_03.png,ok,,,,,,,,,,,,,
dan,vdk_term_account_fr_05,vdk,traditional,term_account,fr,https://www.vdk.be/fr/particuliers/epargner-et-investir/compte-terme,data/raw/vdk/term_account_fr_04.png,ok,,,,,,,,,,,,,
dan,ing_current_account_pack_en_01,ing,traditional,current_account_pack,en,https://www.ing.be/en/individuals/expat/pack-more-expats,data/raw/ing/current_account_pack_en_01.png,ok,,,,,,,,,,,,,
dan,kbc_current_account_pack_en_01,kbc,traditional,current_account_pack,en,https://www.kbc.be/retail/en/products/payments/current-accounts/open-a-basic-account.html,data/raw/kbc/current_account_pack_en_01.png,ok,,,,,,,,,,,,,
